"Last updated","Added on","Feed URL",Title,Subscribed?,"Last touched on","Show type",Sort,"Playback newest to oldest"
2019-11-25T02:01:37Z,2019-11-09T05:03:42Z,"http://feeds.soundcloud.com/users/soundcloud:users:572119410/sounds.rss","Fall of Civilizations Podcast",Yes,2019-11-09T05:03:42Z,,descending,Yes
2019-11-24T07:14:45Z,2019-08-21T00:15:57Z,"https://rss.whooshkaa.com/rss/podcast/id/8610","Queer STEM History",Yes,2019-08-21T00:15:57Z,,descending,Yes
2019-11-25T02:01:38Z,2019-05-25T10:59:24Z,"https://podcasts.files.bbci.co.uk/w13xttx2.rss","13 Minutes to the Moon",Yes,2019-11-05T12:08:20Z,,ascending,No
2019-11-25T01:57:40Z,2019-04-25T08:45:29Z,"https://podcasts.files.bbci.co.uk/w13xttw7.rss","30 Animals That Made Us Smarter",Yes,2019-11-25T01:53:32Z,,descending,Yes
2019-11-24T07:14:41Z,2019-02-05T09:50:18Z,"http://feeds.soundcloud.com/users/soundcloud:users:227545169/sounds.rss","The Wholesome Show",Yes,2019-02-06T21:54:33Z,,descending,Yes
2019-11-24T07:14:42Z,2019-01-12T01:02:58Z,"https://www.omnycontent.com/d/playlist/f21a6197-2809-4d27-90d4-a4c6003b85e4/65cfbfee-1a31-47af-aa13-a4c6003bc728/6a31b875-396f-4f26-9aea-a4d0004ebd28/podcast.rss","Dragon Friends",Yes,2019-01-12T01:02:58Z,,descending,Yes
2019-11-24T07:14:41Z,2019-01-12T01:02:16Z,"https://www.omnycontent.com/d/playlist/f21a6197-2809-4d27-90d4-a4c6003b85e4/a5632a61-9b33-4907-85d9-a8c400065553/a9fcb109-5f35-443b-93b6-a8c4000815c4/podcast.rss","The Bear Pack Podcast",Yes,2019-03-31T20:50:19Z,,descending,Yes
2019-11-24T07:14:41Z,2019-01-04T07:39:38Z,"https://feeds.megaphone.fm/HSW2707885722","The End Of The World with Josh Clark",Yes,2019-01-19T01:21:14Z,,ascending,No
2019-11-24T07:14:42Z,2019-01-03T01:54:00Z,"https://rss.wbur.org/modernlove/podcast","Modern Love",Yes,2019-01-17T12:03:30Z,,descending,Yes
2019-11-24T07:14:45Z,2018-12-17T20:52:32Z,"https://www.numberphile.com/podcast?format=rss","The Numberphile Podcast",Yes,2019-10-14T05:34:49Z,,descending,Yes
2019-11-24T07:14:43Z,2018-12-10T05:40:47Z,"https://corridorcast.libsyn.com/rss","Corridor Cast",Yes,2019-04-04T12:12:44Z,,descending,Yes
2019-11-24T06:07:08Z,2018-09-25T10:02:26Z,"http://wakingup.libsyn.com/rss","Making Sense with Sam Harris",Yes,2018-10-03T00:49:53Z,,descending,Yes
2019-11-24T06:56:45Z,2018-09-22T04:38:15Z,"http://rss.acast.com/themagnusarchives","The Magnus Archives",Yes,2019-11-12T09:39:09Z,,ascending,No
2019-11-25T01:57:40Z,2018-07-27T23:38:10Z,"http://feeds.everythingisalive.com/everythingisalive","Everything is Alive",Yes,2018-10-02T04:09:02Z,,descending,Yes
2019-11-25T01:57:40Z,2018-07-07T12:25:03Z,"http://feeds.feedburner.com/dancarlin/history?format=xml","Dan Carlin's Hardcore History",Yes,2018-07-07T12:25:03Z,,descending,Yes
2019-11-25T01:57:41Z,2018-05-16T10:00:24Z,"http://howaidworks.libsyn.com/rss","How Aid Works",Yes,2018-07-25T07:25:19Z,,descending,Yes
2019-11-25T02:01:37Z,2018-04-30T07:50:50Z,"https://podcasts.files.bbci.co.uk/p04b1g3c.rss","50 Things That Made the Modern Economy",Yes,2019-11-25T02:01:38Z,,descending,Yes
2019-11-24T07:14:43Z,2018-04-12T19:46:30Z,"https://rss.acast.com/greatleapyears","Stephen Fry's Great Leap Years",Yes,2018-05-16T07:55:36Z,,ascending,No
2019-11-25T01:57:39Z,2018-04-09T12:44:18Z,"http://www.abc.net.au/radionational/feed/8826774/podcast.xml","Sum Of All Parts - ABC RN",Yes,2018-07-06T06:19:30Z,,descending,Yes
2019-11-24T07:14:47Z,2018-03-09T22:16:44Z,"https://gastropod.com/feed/",Gastropod,Yes,2018-03-22T08:23:58Z,,descending,Yes
2019-11-24T07:14:45Z,2017-12-16T06:05:31Z,"https://www.omnibusproject.com/podcasts/omnibus.rss","Omnibus! With Ken Jennings and John Roderick",No,2018-03-10T08:31:35Z,,ascending,No
2019-11-24T07:14:41Z,2018-03-03T05:18:07Z,"https://rss.art19.com/tell-me-something-i-don-t-know","Tell Me Something I Don't Know",Yes,2018-12-10T10:59:20Z,,descending,Yes
2019-11-25T02:01:38Z,2018-01-24T05:53:19Z,"http://sawbones.libsyn.com/rss","Sawbones: A Marital Tour of Misguided Medicine",Yes,2018-11-07T14:12:58Z,,ascending,No
2019-11-25T01:57:39Z,2018-01-14T22:03:44Z,"http://www.abc.net.au/radionational/feed/6052176/podcast.xml","Blueprint for Living - ABC RN",No,2018-01-14T22:03:44Z,,descending,Yes
2019-11-25T01:57:39Z,2018-01-14T22:06:13Z,"http://www.abc.net.au/radionational/feed/6052188/podcast.xml","Blueprint for Living - Separate stories - ABC RN",Yes,2018-01-24T06:06:00Z,,descending,Yes
2019-11-24T06:07:08Z,2017-09-25T00:45:39Z,"http://feeds.soundcloud.com/users/soundcloud:users:298307262/sounds.rss","JPL Podcasts",Yes,2018-12-26T06:19:22Z,,descending,Yes
2019-11-24T06:56:45Z,2017-09-09T07:59:29Z,"http://feeds.theallusionist.org/Allusionist","The Allusionist",Yes,2019-11-05T12:35:11Z,,ascending,No
2019-11-24T07:14:45Z,2017-09-02T14:34:09Z,"https://www.unmade.fm/episodes?format=rss","The Unmade Podcast",Yes,2019-05-25T11:03:01Z,,descending,Yes
2019-11-24T07:14:41Z,2016-09-09T15:25:31Z,"http://www.npr.org/rss/podcast.php?id=510307",Invisibilia,Yes,2018-09-20T04:58:41Z,,ascending,No
2019-11-25T02:01:37Z,2017-04-18T13:53:58Z,"http://rss.acast.com/mydadwroteaporno","My Dad Wrote A Porno",Yes,2017-06-12T13:05:02Z,,descending,Yes
2019-11-24T07:14:41Z,2017-02-12T11:24:06Z,"http://nodumbqs.libsyn.com/rss","No Dumb Questions",Yes,2019-10-10T09:10:45Z,,descending,Yes
2019-11-25T02:01:38Z,2016-11-30T20:29:52Z,"http://20khz.libsyn.com/rss","Twenty Thousand Hertz",Yes,2019-10-15T09:53:52Z,,ascending,No
2019-11-24T06:07:08Z,2016-11-04T10:21:32Z,"http://feeds.soundcloud.com/users/soundcloud:users:38128127/sounds.rss","StarTalk Radio",Yes,2017-07-17T06:31:50Z,,ascending,No
2019-11-24T07:14:45Z,2016-11-04T10:20:49Z,"http://feeds.feedburner.com/RevisionistHistory","Revisionist History",Yes,2017-07-22T23:47:38Z,,ascending,No
2019-11-24T07:14:49Z,2016-09-09T15:27:36Z,"http://www.howstuffworks.com/podcasts/stuff-you-missed-in-history-class.rss","Stuff You Missed in History Class",Yes,2016-09-09T15:27:36Z,,descending,Yes
2019-11-24T06:56:45Z,2016-09-09T15:26:45Z,"http://www.bbc.co.uk/programmes/b006qxsb/episodes/downloads.rss","Great Lives",Yes,2016-09-09T15:26:45Z,,descending,Yes
2019-11-24T07:14:41Z,2016-09-09T15:23:47Z,"http://www.npr.org/rss/podcast.php?id=510289","Planet Money",Yes,2018-08-29T08:24:23Z,,descending,Yes
2019-11-24T07:09:37Z,2016-09-09T15:23:07Z,"http://www.bbc.co.uk/programmes/p02nrss1/episodes/downloads.rss","More or Less: Behind the Stats",Yes,2019-06-17T07:08:45Z,,descending,Yes
2019-11-24T06:56:46Z,2016-09-09T15:21:30Z,"http://www.bbc.co.uk/programmes/b006x3hl/episodes/downloads.rss","The Essay",Yes,2016-10-08T02:48:26Z,,descending,Yes
2019-11-25T01:57:40Z,2016-09-06T21:30:50Z,"http://feeds.serialpodcast.org/serialpodcast",Serial,Yes,2017-04-22T02:24:37Z,,ascending,No
2019-11-25T02:01:38Z,2016-07-04T07:38:15Z,"http://feeds.feedburner.com/imaginaryworldspodcast","Imaginary Worlds",Yes,2019-11-23T22:39:41Z,,ascending,No
2019-11-24T07:14:45Z,2016-07-04T07:37:33Z,"https://ww2.kqed.org/news/programs/the-leap/feed","The Leap",Yes,2018-05-28T07:35:12Z,,descending,Yes
2019-11-24T06:56:22Z,2016-06-05T14:38:56Z,http://feeds.prx.org/toe,"Benjamen Walker's Theory of Everything",Yes,2016-10-26T12:08:40Z,,descending,Yes
2019-11-25T02:01:37Z,2016-05-16T13:26:51Z,"http://songexploder.libsyn.com/rss","Song Exploder",Yes,2019-08-21T21:16:15Z,,ascending,No
